"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2001-09-24",87,191,3,55
"2001-09-25",86,211,4,52
"2001-09-26",82,251,2,59
"2001-09-27",111,277,2,49
"2001-09-28",97,256,3,68
"2001-09-29",77,295,3,64
"2001-09-30",93,305,3,65
"2001-10-01",108,261,2,74
"2001-10-02",96,294,1,60
"2001-10-03",97,279,7,60
"2001-10-04",87,236,3,58
"2001-10-05",100,215,1,70
"2001-10-06",75,286,2,74
"2001-10-07",78,268,4,69
"2001-10-08",62,256,1,45
"2001-10-09",79,279,2,55
"2001-10-10",99,237,2,51
"2001-10-11",76,265,2,79
"2001-10-12",91,246,1,60
"2001-10-13",79,247,3,50
"2001-10-14",69,253,1,66
"2001-10-15",81,222,6,57
"2001-10-16",90,222,1,67
"2001-10-17",93,240,2,52
"2001-10-18",88,258,2,46
"2001-10-19",86,281,1,60
"2001-10-20",96,316,4,65
"2001-10-21",82,338,3,55
"2001-10-22",87,271,3,57
"2001-10-23",95,256,1,68
"2001-10-24",72,237,2,65
"2001-10-25",79,190,1,45
"2001-10-26",80,253,1,51
"2001-10-27",51,259,1,59
"2001-10-28",79,262,3,85
"2001-10-29",88,236,2,40
"2001-10-30",85,233,2,50
"2001-10-31",93,315,4,64
"2001-11-01",114,272,1,78
"2001-11-02",106,287,1,50
"2001-11-03",84,267,1,55
"2001-11-04",56,297,1,63
"2001-11-05",94,233,2,41
"2001-11-06",91,253,1,45
"2001-11-07",93,263,3,45
"2001-11-08",93,208,1,57
"2001-11-09",66,205,2,51
"2001-11-10",67,240,3,53
"2001-11-11",63,259,4,44
"2001-11-12",78,194,3,43
"2001-11-13",67,224,2,54
"2001-11-14",71,209,5,50
"2001-11-15",86,222,3,45
"2001-11-16",87,257,1,40
"2001-11-17",71,296,6,56
"2001-11-18",75,293,3,49
"2001-11-19",79,195,0,47
"2001-11-20",81,207,3,54
"2001-11-21",84,214,0,43
"2001-11-22",63,251,0,44
"2001-11-23",77,206,3,60
"2001-11-24",82,258,2,59
"2001-11-25",64,193,4,79
"2001-11-26",80,232,3,48
"2001-11-27",82,209,0,43
"2001-11-28",85,209,1,55
"2001-11-29",66,215,1,63
"2001-11-30",89,230,4,81
"2001-12-01",52,250,3,48
"2001-12-02",71,237,5,54
"2001-12-03",87,226,1,68
"2001-12-04",97,238,1,56
"2001-12-05",98,251,3,51
"2001-12-06",91,237,0,58
"2001-12-07",72,268,1,61
"2001-12-08",57,229,1,66
"2001-12-09",57,235,2,45
"2001-12-10",82,188,1,51
"2001-12-11",66,222,1,49
"2001-12-12",79,223,0,57
"2001-12-13",75,239,3,54
"2001-12-14",92,269,0,71
"2001-12-15",62,223,3,61
"2001-12-16",64,245,1,46
"2001-12-17",70,231,2,67
"2001-12-18",81,219,2,50
"2001-12-19",80,203,0,48
"2001-12-20",66,178,5,52
"2001-12-21",71,210,0,62
"2001-12-22",58,236,2,63
"2001-12-23",56,203,1,58
"2001-12-24",40,145,2,39
"2001-12-25",34,186,0,28
"2001-12-26",41,140,1,33
"2001-12-27",52,167,0,48
"2001-12-28",65,170,4,42
"2001-12-29",58,213,0,48
"2001-12-30",48,192,3,40
"2001-12-31",56,180,1,62
"2002-01-01",84,345,1,51
"2002-01-02",59,150,1,52
"2002-01-03",67,166,5,58
"2002-01-04",63,187,2,37
"2002-01-05",51,205,3,53
"2002-01-06",59,222,4,44
"2002-01-07",47,182,1,56
"2002-01-08",77,181,2,51
"2002-01-09",96,224,3,46
"2002-01-10",84,253,1,52
"2002-01-11",95,232,1,56
"2002-01-12",72,232,0,67
"2002-01-13",72,223,2,56
"2002-01-14",75,197,1,48
"2002-01-15",67,231,1,55
"2002-01-16",82,220,2,51
"2002-01-17",68,162,2,43
"2002-01-18",73,213,1,43
"2002-01-19",68,228,2,49
"2002-01-20",54,229,1,42
"2002-01-21",74,182,0,29
"2002-01-22",80,234,0,35
"2002-01-23",72,237,0,46
"2002-01-24",92,189,1,42
"2002-01-25",93,239,3,48
"2002-01-26",74,248,1,54
"2002-01-27",66,306,0,44
"2002-01-28",82,219,2,40
"2002-01-29",87,214,0,42
"2002-01-30",62,165,1,51
"2002-01-31",67,185,1,30
"2002-02-01",70,181,2,33
"2002-02-02",71,217,1,48
"2002-02-03",62,207,0,33
"2002-02-04",52,194,0,49
"2002-02-05",79,202,1,38
"2002-02-06",79,208,0,43
"2002-02-07",76,226,0,42
"2002-02-08",77,236,0,39
