"","ASSAULT","BATTERY","HOMICIDE","ROBBERY"
"2011-05-06",59,175,2,40
"2011-05-07",50,194,0,49
"2011-05-08",53,236,0,41
"2011-05-09",83,181,0,38
"2011-05-10",60,207,0,34
"2011-05-11",84,214,2,46
"2011-05-12",78,207,4,30
"2011-05-13",80,198,0,48
"2011-05-14",32,156,0,38
"2011-05-15",40,163,0,39
"2011-05-16",60,165,0,47
"2011-05-17",74,165,1,41
"2011-05-18",70,132,1,40
"2011-05-19",63,181,4,48
"2011-05-20",61,202,4,37
"2011-05-21",55,228,1,29
"2011-05-22",82,234,1,35
"2011-05-23",79,190,3,42
"2011-05-24",63,179,1,54
"2011-05-25",58,146,0,40
"2011-05-26",52,152,2,46
"2011-05-27",56,155,0,39
"2011-05-28",44,183,0,38
"2011-05-29",48,202,1,36
"2011-05-30",68,218,3,40
"2011-05-31",72,215,5,36
"2011-06-01",77,194,1,41
"2011-06-02",77,221,2,51
"2011-06-03",75,187,1,42
"2011-06-04",71,258,5,38
"2011-06-05",65,218,2,43
"2011-06-06",75,190,5,34
"2011-06-07",67,194,1,42
"2011-06-08",65,182,0,32
"2011-06-09",54,175,2,34
"2011-06-10",80,205,2,36
"2011-06-11",45,189,5,44
"2011-06-12",46,222,0,25
"2011-06-13",65,184,2,33
"2011-06-14",68,174,1,36
"2011-06-15",57,184,1,34
"2011-06-16",51,154,1,41
"2011-06-17",69,210,0,47
"2011-06-18",58,245,1,42
"2011-06-19",62,314,1,44
"2011-06-20",73,209,0,40
"2011-06-21",77,190,1,35
"2011-06-22",74,162,1,34
"2011-06-23",50,146,3,38
"2011-06-24",57,160,1,47
"2011-06-25",73,232,0,49
"2011-06-26",69,233,1,53
"2011-06-27",49,173,2,45
"2011-06-28",81,159,1,39
"2011-06-29",70,179,0,26
"2011-06-30",67,145,2,35
"2011-07-01",61,177,1,36
"2011-07-02",74,257,4,38
"2011-07-03",66,242,1,21
"2011-07-04",72,276,1,34
"2011-07-05",79,212,0,56
"2011-07-06",70,162,0,47
"2011-07-07",57,175,1,43
"2011-07-08",59,198,1,36
"2011-07-09",59,225,3,47
"2011-07-10",78,258,3,42
"2011-07-11",57,198,1,43
"2011-07-12",64,193,5,34
"2011-07-13",61,202,1,28
"2011-07-14",76,173,2,35
"2011-07-15",76,179,3,48
"2011-07-16",75,214,3,44
"2011-07-17",72,229,0,30
"2011-07-18",66,189,1,32
"2011-07-19",57,183,2,51
"2011-07-20",67,151,0,39
"2011-07-21",71,171,1,37
"2011-07-22",72,185,2,47
"2011-07-23",56,204,2,46
"2011-07-24",47,232,3,55
"2011-07-25",58,183,1,39
"2011-07-26",64,175,1,52
"2011-07-27",71,177,0,56
"2011-07-28",72,155,1,35
"2011-07-29",51,166,5,43
"2011-07-30",71,251,4,38
"2011-07-31",49,239,2,47
"2011-08-01",71,198,1,54
"2011-08-02",48,164,0,40
"2011-08-03",59,161,2,40
"2011-08-04",63,168,3,46
"2011-08-05",57,178,1,45
"2011-08-06",57,244,1,52
"2011-08-07",44,229,3,48
"2011-08-08",52,126,0,49
"2011-08-09",66,152,1,41
"2011-08-10",63,155,1,27
"2011-08-11",64,148,3,42
"2011-08-12",63,174,0,53
"2011-08-13",59,204,2,54
"2011-08-14",65,208,1,34
"2011-08-15",62,149,0,48
"2011-08-16",65,149,1,43
"2011-08-17",65,175,2,42
"2011-08-18",72,150,0,45
"2011-08-19",73,187,0,42
"2011-08-20",69,194,0,44
"2011-08-21",50,219,2,45
"2011-08-22",65,162,1,35
"2011-08-23",58,150,1,38
"2011-08-24",69,126,1,36
"2011-08-25",65,166,4,42
"2011-08-26",73,170,0,44
"2011-08-27",54,209,0,46
"2011-08-28",77,227,4,44
"2011-08-29",75,163,0,40
"2011-08-30",68,159,0,36
"2011-08-31",67,169,1,35
"2011-09-01",60,173,0,45
"2011-09-02",63,182,4,40
"2011-09-03",52,207,5,43
"2011-09-04",48,219,2,49
"2011-09-05",51,161,1,36
"2011-09-06",66,130,2,39
"2011-09-07",56,142,0,40
"2011-09-08",49,138,1,32
"2011-09-09",55,153,0,33
"2011-09-10",67,206,1,44
"2011-09-11",77,203,2,52
"2011-09-12",70,187,1,43
"2011-09-13",78,158,3,44
"2011-09-14",56,130,2,40
"2011-09-15",61,122,2,36
"2011-09-16",54,162,0,50
"2011-09-17",63,149,1,39
"2011-09-18",52,192,4,49
"2011-09-19",72,149,2,35
"2011-09-20",62,160,0,38
"2011-09-21",64,154,0,38
"2011-09-22",71,160,2,40
"2011-09-23",44,140,1,40
"2011-09-24",67,169,0,47
"2011-09-25",62,163,0,45
"2011-09-26",70,130,3,46
"2011-09-27",47,110,0,46
"2011-09-28",56,131,1,44
"2011-09-29",49,148,0,53
"2011-09-30",59,145,0,52
"2011-10-01",47,174,1,35
"2011-10-02",56,166,2,60
"2011-10-03",50,143,0,41
"2011-10-04",58,138,0,41
"2011-10-05",52,154,0,46
"2011-10-06",63,165,3,46
"2011-10-07",71,182,1,41
"2011-10-08",52,206,3,53
"2011-10-09",68,203,1,54
"2011-10-10",51,138,1,39
"2011-10-11",63,163,2,57
"2011-10-12",69,158,0,45
"2011-10-13",47,116,1,35
"2011-10-14",54,172,0,56
"2011-10-15",42,183,2,49
"2011-10-16",43,179,1,48
"2011-10-17",33,150,1,37
"2011-10-18",48,136,2,42
"2011-10-19",60,109,2,43
"2011-10-20",56,132,0,27
"2011-10-21",51,148,1,36
"2011-10-22",38,193,1,48
"2011-10-23",59,204,3,38
"2011-10-24",69,159,3,49
"2011-10-25",79,157,3,58
"2011-10-26",64,150,0,50
"2011-10-27",53,143,2,47
"2011-10-28",56,156,1,52
"2011-10-29",50,188,1,38
"2011-10-30",54,214,5,45
"2011-10-31",52,190,1,45
"2011-11-01",70,158,2,66
"2011-11-02",66,142,3,44
"2011-11-03",41,130,1,40
"2011-11-04",52,173,1,39
"2011-11-05",47,143,7,44
"2011-11-06",56,189,3,44
"2011-11-07",58,150,1,37
"2011-11-08",41,127,0,49
"2011-11-09",37,120,1,44
"2011-11-10",46,120,3,40
"2011-11-11",43,123,2,33
"2011-11-12",53,175,0,40
"2011-11-13",54,194,1,38
"2011-11-14",62,150,0,42
"2011-11-15",64,156,3,42
"2011-11-16",54,146,1,32
"2011-11-17",35,107,0,36
"2011-11-18",42,123,0,36
"2011-11-19",46,192,1,44
"2011-11-20",45,174,0,45
"2011-11-21",58,143,0,29
"2011-11-22",47,124,0,45
"2011-11-23",42,134,1,39
"2011-11-24",34,144,1,24
"2011-11-25",42,149,1,39
"2011-11-26",46,147,0,38
"2011-11-27",37,179,2,37
"2011-11-28",46,125,1,50
"2011-11-29",37,108,0,34
"2011-11-30",54,118,1,45
"2011-12-01",62,131,1,54
"2011-12-02",45,152,0,52
"2011-12-03",47,161,1,42
"2011-12-04",67,184,4,56
"2011-12-05",56,122,2,41
"2011-12-06",50,139,0,30
"2011-12-07",41,114,0,42
"2011-12-08",45,136,1,41
"2011-12-09",27,141,1,32
"2011-12-10",35,156,2,36
"2011-12-11",53,172,0,31
"2011-12-12",46,156,1,40
"2011-12-13",49,161,2,50
"2011-12-14",64,146,0,32
"2011-12-15",60,146,1,51
"2011-12-16",52,136,0,42
"2011-12-17",39,147,1,28
"2011-12-18",43,169,1,41
"2011-12-19",50,159,1,47
"2011-12-20",58,134,0,46
"2011-12-21",52,139,1,46
"2011-12-22",42,139,1,48
"2011-12-23",37,138,2,44
"2011-12-24",41,147,3,32
"2011-12-25",25,134,2,16
"2011-12-26",40,107,0,35
"2011-12-27",35,131,2,25
"2011-12-28",32,128,1,36
"2011-12-29",34,148,4,31
"2011-12-30",45,131,1,42
"2011-12-31",37,134,2,39
"2012-01-01",48,264,0,42
"2012-01-02",38,112,4,34
"2012-01-03",45,115,1,29
"2012-01-04",32,106,2,33
"2012-01-05",42,138,2,51
"2012-01-06",48,120,1,33
"2012-01-07",32,167,3,40
"2012-01-08",47,133,2,34
"2012-01-09",31,139,4,36
"2012-01-10",53,130,2,37
"2012-01-11",50,136,2,37
"2012-01-12",42,98,0,34
"2012-01-13",39,115,1,26
"2012-01-14",42,144,3,27
"2012-01-15",34,171,0,32
"2012-01-16",40,115,1,32
"2012-01-17",40,131,1,35
"2012-01-18",31,113,0,27
"2012-01-19",33,122,1,20
"2012-01-20",32,105,3,34
"2012-01-21",35,134,2,28
"2012-01-22",25,144,1,29
"2012-01-23",34,140,6,30
"2012-01-24",44,163,1,33
"2012-01-25",54,143,0,40
"2012-01-26",55,138,0,28
"2012-01-27",54,143,0,30
"2012-01-28",41,146,0,27
"2012-01-29",34,178,0,22
"2012-01-30",56,146,0,27
"2012-01-31",63,160,0,44
"2012-02-01",52,141,1,34
"2012-02-02",56,148,1,27
"2012-02-03",39,112,0,21
"2012-02-04",48,153,0,30
"2012-02-05",36,154,0,27
"2012-02-06",40,108,1,20
"2012-02-07",46,118,0,18
"2012-02-08",53,127,1,17
"2012-02-09",36,134,0,26
"2012-02-10",48,99,1,23
"2012-02-11",42,116,2,20
"2012-02-12",38,138,1,22
"2012-02-13",39,103,0,19
"2012-02-14",53,114,0,28
"2012-02-15",61,145,0,21
"2012-02-16",46,138,0,19
"2012-02-17",52,184,1,22
"2012-02-18",34,151,1,23
"2012-02-19",32,193,6,23
"2012-02-20",27,104,1,24
"2012-02-21",49,142,0,27
"2012-02-22",50,145,1,28
"2012-02-23",44,147,1,16
"2012-02-24",56,129,3,30
"2012-02-25",47,125,1,17
"2012-02-26",42,166,1,22
"2012-02-27",51,126,1,24
"2012-02-28",56,135,1,32
"2012-02-29",51,165,2,36
"2012-03-01",46,141,1,24
"2012-03-02",47,131,3,24
"2012-03-03",63,132,0,27
"2012-03-04",35,179,1,27
"2012-03-05",48,114,0,30
"2012-03-06",60,180,3,33
"2012-03-07",59,190,0,29
"2012-03-08",64,152,1,23
"2012-03-09",60,166,1,26
"2012-03-10",47,169,2,32
"2012-03-11",58,209,1,24
"2012-03-12",75,153,3,23
"2012-03-13",61,157,0,25
"2012-03-14",62,183,2,27
"2012-03-15",76,187,1,24
"2012-03-16",61,174,0,20
"2012-03-17",67,254,6,36
"2012-03-18",64,255,4,30
"2012-03-19",65,167,2,31
"2012-03-20",77,177,1,22
"2012-03-21",83,227,3,33
"2012-03-22",74,202,1,33
"2012-03-23",73,143,2,25
"2012-03-24",48,169,2,29
"2012-03-25",53,202,3,23
"2012-03-26",54,120,1,24
"2012-03-27",60,143,4,29
"2012-03-28",64,153,0,24
"2012-03-29",52,124,4,35
"2012-03-30",44,163,1,27
"2012-03-31",56,160,0,26
"2012-04-01",46,178,1,43
"2012-04-02",41,116,1,24
"2012-04-03",51,131,0,29
"2012-04-04",49,124,0,30
"2012-04-05",43,127,2,26
"2012-04-06",42,119,1,26
"2012-04-07",48,217,4,31
"2012-04-08",62,184,0,25
"2012-04-09",63,137,2,25
"2012-04-10",33,111,0,25
"2012-04-11",51,149,0,26
"2012-04-12",55,188,1,35
"2012-04-13",64,149,0,25
"2012-04-14",57,171,5,46
"2012-04-15",63,202,3,23
"2012-04-16",65,131,2,32
"2012-04-17",60,160,1,45
"2012-04-18",55,157,3,29
"2012-04-19",65,177,2,46
"2012-04-20",57,128,2,26
"2012-04-21",53,167,0,37
"2012-04-22",50,192,3,38
"2012-04-23",67,178,0,29
"2012-04-24",60,146,1,25
"2012-04-25",61,156,0,43
"2012-04-26",62,143,1,33
"2012-04-27",64,154,0,37
"2012-04-28",43,173,2,40
"2012-04-29",38,160,2,43
"2012-04-30",58,170,2,33
"2012-05-01",57,164,0,39
"2012-05-02",76,210,0,37
"2012-05-03",66,184,4,32
"2012-05-04",62,217,2,36
"2012-05-05",63,193,1,40
"2012-05-06",57,192,1,38
"2012-05-07",76,150,1,52
"2012-05-08",78,173,2,52
"2012-05-09",67,179,1,44
"2012-05-10",55,141,3,40
"2012-05-11",69,178,1,41
"2012-05-12",47,184,3,50
"2012-05-13",57,170,3,43
"2012-05-14",63,209,1,44
"2012-05-15",71,189,1,40
"2012-05-16",51,166,0,37
"2012-05-17",65,174,1,31
"2012-05-18",62,205,2,32
"2012-05-19",50,225,2,30
"2012-05-20",49,254,2,32
"2012-05-21",61,145,2,41
"2012-05-22",71,166,3,44
"2012-05-23",80,202,0,54
"2012-05-24",54,180,0,48
"2012-05-25",61,187,3,53
"2012-05-26",58,199,1,39
"2012-05-27",67,235,2,33
"2012-05-28",52,252,6,40
"2012-05-29",81,214,1,44
"2012-05-30",58,191,0,46
"2012-05-31",45,112,1,35
"2012-06-01",61,157,0,56
"2012-06-02",58,211,3,47
"2012-06-03",63,225,0,47
"2012-06-04",60,187,1,40
"2012-06-05",66,160,1,46
"2012-06-06",79,178,1,36
"2012-06-07",55,189,0,38
"2012-06-08",70,189,2,28
"2012-06-09",74,241,2,59
"2012-06-10",74,242,2,42
"2012-06-11",75,198,5,46
"2012-06-12",73,184,1,41
"2012-06-13",56,193,5,53
"2012-06-14",60,155,0,30
"2012-06-15",64,190,0,39
"2012-06-16",60,245,1,43
"2012-06-17",63,239,5,43
"2012-06-18",79,210,2,32
"2012-06-19",46,166,2,46
"2012-06-20",65,201,1,45
"2012-06-21",63,185,1,52
"2012-06-22",59,185,1,46
"2012-06-23",55,258,0,47
"2012-06-24",74,264,4,56
"2012-06-25",56,159,0,39
"2012-06-26",48,145,2,40
"2012-06-27",69,146,2,36
"2012-06-28",48,139,0,35
"2012-06-29",55,173,0,37
"2012-06-30",68,192,5,37
"2012-07-01",63,238,4,41
"2012-07-02",66,168,2,39
"2012-07-03",61,173,2,44
"2012-07-04",68,249,3,28
"2012-07-05",67,246,4,47
"2012-07-06",68,166,1,23
"2012-07-07",49,231,0,38
"2012-07-08",74,248,0,55
"2012-07-09",75,199,0,45
"2012-07-10",64,181,2,49
"2012-07-11",58,189,3,37
"2012-07-12",65,165,1,36
"2012-07-13",55,179,1,42
"2012-07-14",82,218,3,38
"2012-07-15",59,252,0,51
"2012-07-16",51,160,2,43
"2012-07-17",67,197,1,35
"2012-07-18",55,168,0,33
"2012-07-19",48,147,2,43
"2012-07-20",50,190,0,48
"2012-07-21",63,225,3,48
"2012-07-22",64,223,0,41
"2012-07-23",57,171,2,53
"2012-07-24",54,165,2,40
"2012-07-25",74,163,1,38
"2012-07-26",63,158,6,47
"2012-07-27",54,151,1,55
"2012-07-28",59,203,1,50
"2012-07-29",73,228,1,54
"2012-07-30",60,187,1,50
"2012-07-31",63,133,1,41
"2012-08-01",71,169,2,24
"2012-08-02",70,175,4,46
"2012-08-03",63,186,1,36
"2012-08-04",58,235,1,30
"2012-08-05",60,221,3,38
"2012-08-06",62,164,2,54
"2012-08-07",63,159,0,48
"2012-08-08",63,161,2,48
"2012-08-09",48,138,5,36
"2012-08-10",49,151,0,38
"2012-08-11",70,207,0,39
"2012-08-12",56,198,0,32
"2012-08-13",53,124,3,31
"2012-08-14",58,148,1,43
"2012-08-15",69,172,4,40
"2012-08-16",58,147,1,38
"2012-08-17",60,158,1,41
"2012-08-18",62,207,5,41
"2012-08-19",52,214,1,45
"2012-08-20",51,153,0,45
"2012-08-21",54,145,3,48
"2012-08-22",66,134,2,28
"2012-08-23",69,159,0,44
"2012-08-24",57,179,3,39
"2012-08-25",61,241,4,43
"2012-08-26",49,226,2,53
"2012-08-27",65,158,0,38
"2012-08-28",79,175,3,43
"2012-08-29",60,139,1,50
"2012-08-30",71,169,1,33
"2012-08-31",63,164,1,60
"2012-09-01",64,213,0,40
"2012-09-02",56,200,3,31
"2012-09-03",46,203,0,45
"2012-09-04",58,142,3,49
"2012-09-05",48,150,2,36
"2012-09-06",70,161,1,40
"2012-09-07",50,162,0,32
"2012-09-08",48,183,2,41
"2012-09-09",56,192,0,39
"2012-09-10",37,153,0,42
"2012-09-11",58,152,0,32
"2012-09-12",67,137,1,37
"2012-09-13",41,129,2,41
"2012-09-14",72,153,1,33
"2012-09-15",73,202,3,28
"2012-09-16",51,187,1,51
"2012-09-17",54,134,2,42
"2012-09-18",48,119,1,33
"2012-09-19",50,135,1,43
"2012-09-20",51,149,1,28
"2012-09-21",51,129,1,43
"2012-09-22",48,135,4,30
"2012-09-23",57,169,0,30
"2012-09-24",59,131,3,36
"2012-09-25",64,158,5,54
"2012-09-26",64,143,2,43
"2012-09-27",50,125,0,31
"2012-09-28",54,146,4,41
"2012-09-29",47,192,0,51
"2012-09-30",43,177,1,46
"2012-10-01",60,138,1,36
"2012-10-02",88,162,0,29
"2012-10-03",60,134,0,43
"2012-10-04",59,163,0,32
"2012-10-05",43,135,1,36
"2012-10-06",44,142,1,41
"2012-10-07",57,145,0,36
"2012-10-08",52,140,1,48
"2012-10-09",62,138,2,44
"2012-10-10",74,157,1,45
"2012-10-11",63,139,1,32
"2012-10-12",47,158,2,45
"2012-10-13",48,163,1,37
"2012-10-14",46,176,1,31
"2012-10-15",59,174,0,32
"2012-10-16",57,161,0,44
"2012-10-17",64,137,2,50
"2012-10-18",60,144,0,40
"2012-10-19",46,146,2,49
"2012-10-20",56,190,2,42
"2012-10-21",54,185,3,47
"2012-10-22",53,157,0,33
"2012-10-23",56,138,1,32
"2012-10-24",72,180,2,37
"2012-10-25",64,123,0,46
"2012-10-26",34,148,0,48
"2012-10-27",45,169,1,42
"2012-10-28",40,192,5,36
"2012-10-29",55,115,3,31
"2012-10-30",52,125,2,37
"2012-10-31",58,161,2,51
"2012-11-01",48,149,1,49
"2012-11-02",51,145,0,34
"2012-11-03",36,148,2,35
"2012-11-04",27,144,1,38
"2012-11-05",68,134,0,43
"2012-11-06",45,128,1,27
"2012-11-07",54,143,2,35
"2012-11-08",37,137,1,42
"2012-11-09",54,187,0,55
"2012-11-10",60,174,1,49
"2012-11-11",54,174,0,45
"2012-11-12",33,118,1,35
"2012-11-13",51,104,1,44
"2012-11-14",46,124,0,36
"2012-11-15",53,140,3,34
"2012-11-16",58,156,1,45
"2012-11-17",42,147,4,48
"2012-11-18",35,180,2,40
"2012-11-19",50,147,1,46
"2012-11-20",47,115,2,54
"2012-11-21",40,146,2,39
"2012-11-22",41,140,1,19
"2012-11-23",42,130,1,38
"2012-11-24",39,132,0,32
"2012-11-25",40,153,2,47
"2012-11-26",46,132,3,40
"2012-11-27",50,110,0,44
"2012-11-28",48,140,2,49
"2012-11-29",59,119,0,36
"2012-11-30",50,163,4,33
"2012-12-01",50,172,3,39
"2012-12-02",59,169,1,43
"2012-12-03",54,176,1,45
"2012-12-04",49,152,0,36
"2012-12-05",47,143,0,26
"2012-12-06",56,140,0,41
"2012-12-07",56,138,0,45
"2012-12-08",32,152,0,47
"2012-12-09",38,140,2,35
"2012-12-10",46,117,0,38
"2012-12-11",40,130,0,40
"2012-12-12",65,127,1,46
"2012-12-13",61,116,0,46
"2012-12-14",49,145,0,40
"2012-12-15",33,129,0,35
"2012-12-16",40,152,1,45
"2012-12-17",56,117,1,38
"2012-12-18",54,123,0,43
"2012-12-19",56,126,0,38
"2012-12-20",50,112,1,54
"2012-12-21",37,110,1,26
"2012-12-22",34,116,2,28
"2012-12-23",42,146,2,45
"2012-12-24",30,134,1,42
"2012-12-25",37,160,0,18
"2012-12-26",29,110,2,22
"2012-12-27",34,102,0,36
"2012-12-28",44,127,1,48
"2012-12-29",36,132,1,31
"2012-12-30",35,117,2,35
"2012-12-31",39,118,2,43
"2013-01-01",39,283,3,36
"2013-01-02",39,92,2,23
"2013-01-03",45,111,0,36
"2013-01-04",35,120,1,37
"2013-01-05",43,118,4,50
"2013-01-06",45,130,2,25
"2013-01-07",52,112,0,50
"2013-01-08",44,82,2,39
"2013-01-09",56,119,1,33
"2013-01-10",51,101,3,41
"2013-01-11",42,148,3,41
"2013-01-12",36,147,0,38
"2013-01-13",37,133,1,33
"2013-01-14",48,100,1,35
"2013-01-15",45,126,1,46
"2013-01-16",47,116,0,39
"2013-01-17",61,113,2,30
"2013-01-18",64,136,2,42
"2013-01-19",48,155,0,46
"2013-01-20",39,150,1,26
"2013-01-21",35,104,0,23
"2013-01-22",27,107,0,20
"2013-01-23",41,109,1,36
"2013-01-24",37,106,0,27
"2013-01-25",38,137,1,42
"2013-01-26",47,130,7,28
"2013-01-27",46,141,0,21
"2013-01-28",64,123,0,43
"2013-01-29",57,152,3,34
"2013-01-30",42,119,0,44
"2013-01-31",46,106,0,30
"2013-02-01",42,88,1,28
"2013-02-02",33,143,0,37
"2013-02-03",27,153,0,23
"2013-02-04",45,120,1,13
"2013-02-05",49,102,0,42
"2013-02-06",55,130,0,33
"2013-02-07",57,116,1,23
"2013-02-08",41,93,1,31
"2013-02-09",43,133,0,28
"2013-02-10",42,160,0,22
"2013-02-11",42,117,0,18
"2013-02-12",38,97,2,28
"2013-02-13",46,114,0,27
"2013-02-14",42,118,0,26
"2013-02-15",44,147,1,25
"2013-02-16",29,127,1,26
"2013-02-17",43,173,0,19
"2013-02-18",45,123,1,41
"2013-02-19",44,111,0,29
"2013-02-20",32,123,2,21
"2013-02-21",42,111,0,21
"2013-02-22",48,114,1,26
"2013-02-23",27,138,1,28
"2013-02-24",39,143,1,20
"2013-02-25",46,125,0,25
"2013-02-26",49,99,0,27
"2013-02-27",47,133,0,17
"2013-02-28",45,144,0,27
"2013-03-01",55,144,1,29
"2013-03-02",36,150,1,29
"2013-03-03",31,144,0,29
"2013-03-04",41,130,0,28
"2013-03-05",47,118,0,22
"2013-03-06",45,131,1,19
"2013-03-07",48,136,0,21
"2013-03-08",56,163,1,32
"2013-03-09",42,164,0,24
"2013-03-10",41,139,0,28
"2013-03-11",52,142,0,24
"2013-03-12",46,118,1,23
"2013-03-13",62,127,0,21
"2013-03-14",50,144,0,23
"2013-03-15",52,130,0,32
"2013-03-16",44,196,2,27
"2013-03-17",37,162,1,20
"2013-03-18",47,110,3,30
"2013-03-19",41,128,0,19
"2013-03-20",37,136,0,17
"2013-03-21",52,135,0,16
"2013-03-22",45,139,1,22
"2013-03-23",45,157,1,25
"2013-03-24",53,179,1,19
"2013-03-25",39,99,0,26
"2013-03-26",49,104,0,24
"2013-03-27",37,134,0,31
"2013-03-28",48,115,1,24
"2013-03-29",46,135,1,27
"2013-03-30",53,162,0,32
"2013-03-31",39,203,1,29
"2013-04-01",57,142,1,33
"2013-04-02",46,149,0,26
"2013-04-03",51,130,1,27
"2013-04-04",60,175,2,30
"2013-04-05",43,156,0,24
"2013-04-06",52,172,0,33
"2013-04-07",44,173,2,25
"2013-04-08",53,184,1,28
"2013-04-09",54,131,0,22
"2013-04-10",50,122,1,31
"2013-04-11",63,132,0,33
"2013-04-12",40,155,2,30
"2013-04-13",53,175,3,27
"2013-04-14",49,213,0,25
"2013-04-15",55,147,1,34
"2013-04-16",54,148,0,23
"2013-04-17",42,107,0,26
"2013-04-18",55,149,0,42
"2013-04-19",42,144,1,24
"2013-04-20",42,144,1,32
"2013-04-21",58,160,0,24
"2013-04-22",72,186,2,21
"2013-04-23",44,124,0,35
"2013-04-24",52,146,1,36
"2013-04-25",62,149,1,37
"2013-04-26",66,147,1,30
"2013-04-27",66,198,0,25
"2013-04-28",46,166,1,22
"2013-04-29",68,141,0,26
"2013-04-30",73,172,3,18
"2013-05-01",80,221,2,37
"2013-05-02",56,149,1,21
"2013-05-03",53,141,0,28
"2013-05-04",48,198,1,30
"2013-05-05",49,183,0,25
"2013-05-06",56,163,1,31
"2013-05-07",54,169,2,26
"2013-05-08",75,164,1,32
"2013-05-09",61,142,0,33
"2013-05-10",53,169,0,30
"2013-05-11",51,162,0,34
"2013-05-12",54,161,4,37
"2013-05-13",59,149,2,38
"2013-05-14",65,176,2,28
"2013-05-15",73,210,1,35
"2013-05-16",59,186,1,27
"2013-05-17",62,177,2,33
"2013-05-18",50,183,1,36
"2013-05-19",66,191,3,43
"2013-05-20",75,185,1,30
"2013-05-21",70,165,1,28
"2013-05-22",74,159,3,28
"2013-05-23",77,131,1,36
"2013-05-24",44,164,2,26
"2013-05-25",47,141,3,32
"2013-05-26",53,176,2,26
"2013-05-27",36,149,0,30
"2013-05-28",58,132,2,35
"2013-05-29",70,177,3,26
"2013-05-30",55,175,4,32
"2013-05-31",60,168,1,43
"2013-06-01",71,191,0,37
"2013-06-02",49,191,0,33
"2013-06-03",57,152,1,33
"2013-06-04",65,131,1,35
"2013-06-05",57,151,2,20
"2013-06-06",66,170,1,49
"2013-06-07",68,174,0,27
"2013-06-08",43,215,1,33
"2013-06-09",50,217,0,35
"2013-06-10",69,164,2,31
"2013-06-11",63,160,2,34
"2013-06-12",52,147,4,35
"2013-06-13",62,182,1,22
"2013-06-14",54,178,1,27
"2013-06-15",53,189,2,47
"2013-06-16",63,233,5,29
"2013-06-17",64,210,2,31
"2013-06-18",60,157,0,33
"2013-06-19",57,191,0,30
"2013-06-20",62,159,1,31
"2013-06-21",57,154,4,30
"2013-06-22",70,216,1,34
"2013-06-23",62,244,3,34
"2013-06-24",48,167,1,37
"2013-06-25",51,188,1,37
"2013-06-26",58,161,2,36
"2013-06-27",54,151,2,35
"2013-06-28",70,163,3,32
"2013-06-29",46,222,1,29
"2013-06-30",59,236,1,34
"2013-07-01",49,176,1,49
"2013-07-02",48,130,2,31
"2013-07-03",53,120,4,38
"2013-07-04",48,234,3,44
"2013-07-05",58,243,3,40
"2013-07-06",62,179,2,32
"2013-07-07",56,221,1,24
"2013-07-08",44,169,3,38
"2013-07-09",51,143,0,34
"2013-07-10",37,137,1,41
"2013-07-11",52,155,1,36
"2013-07-12",52,144,3,32
"2013-07-13",53,228,1,34
"2013-07-14",61,224,3,50
"2013-07-15",59,189,0,46
"2013-07-16",51,159,0,43
"2013-07-17",57,152,0,31
"2013-07-18",49,174,1,39
"2013-07-19",47,148,4,43
"2013-07-20",58,212,1,38
"2013-07-21",54,213,5,36
"2013-07-22",62,191,0,51
"2013-07-23",55,172,2,35
"2013-07-24",66,141,1,51
"2013-07-25",57,140,0,41
"2013-07-26",58,150,0,35
"2013-07-27",45,174,0,47
"2013-07-28",54,169,1,38
"2013-07-29",56,130,3,46
"2013-07-30",39,118,1,46
"2013-07-31",43,129,0,35
"2013-08-01",63,137,2,35
"2013-08-02",44,160,1,31
"2013-08-03",52,194,1,40
"2013-08-04",49,204,1,41
"2013-08-05",54,130,2,44
"2013-08-06",49,136,2,35
"2013-08-07",59,149,2,36
"2013-08-08",47,139,0,39
"2013-08-09",64,157,1,35
"2013-08-10",46,238,3,36
"2013-08-11",48,221,0,40
"2013-08-12",49,171,0,44
"2013-08-13",49,130,3,33
"2013-08-14",35,114,0,38
"2013-08-15",41,150,1,28
"2013-08-16",55,136,3,41
"2013-08-17",49,187,2,34
"2013-08-18",54,208,4,29
"2013-08-19",55,158,0,45
"2013-08-20",51,165,2,30
"2013-08-21",54,140,1,32
"2013-08-22",52,151,0,45
"2013-08-23",55,134,2,28
"2013-08-24",52,187,0,35
"2013-08-25",52,207,4,37
"2013-08-26",56,152,1,32
"2013-08-27",53,147,4,37
"2013-08-28",74,166,2,33
"2013-08-29",51,156,2,28
"2013-08-30",50,149,2,36
"2013-08-31",48,171,3,33
"2013-09-01",58,233,2,35
"2013-09-02",64,193,5,37
"2013-09-03",49,131,0,31
"2013-09-04",55,141,1,34
"2013-09-05",65,158,1,28
"2013-09-06",57,142,0,39
"2013-09-07",54,198,1,31
"2013-09-08",44,213,2,38
"2013-09-09",64,161,1,33
"2013-09-10",60,174,2,24
"2013-09-11",65,155,2,39
"2013-09-12",69,155,2,24
"2013-09-13",52,127,0,38
"2013-09-14",29,174,1,43
"2013-09-15",40,191,0,38
"2013-09-16",62,116,0,31
"2013-09-17",46,111,2,33
"2013-09-18",53,154,1,35
"2013-09-19",60,126,1,39
"2013-09-20",54,160,5,38
"2013-09-21",44,170,4,47
"2013-09-22",52,155,0,31
"2013-09-23",42,135,1,27
"2013-09-24",50,133,0,47
