"","Date","001","002","003","004","005","006","007","008","009","010","011","012","014","015","016","017","018","019","020","022","024","025","031","021"
"89",2001-03-30,51,103,55,76,43,63,72,90,68,52,65,62,59,70,63,38,62,62,39,43,41,73,0,0
"90",2001-03-31,23,86,73,53,50,64,63,70,64,53,127,60,55,42,55,41,81,67,25,43,44,66,0,0
"91",2001-04-01,32,111,68,74,55,63,81,74,73,63,77,63,61,49,44,33,61,73,32,45,38,90,0,0
"92",2001-04-02,50,109,59,52,62,80,81,82,73,50,71,78,60,47,37,24,61,67,22,40,40,77,0,0
"93",2001-04-03,45,94,55,68,74,78,79,64,63,33,98,77,55,66,37,40,68,69,28,38,44,80,0,0
"94",2001-04-04,37,120,78,65,58,63,72,78,78,43,73,77,62,58,47,32,61,61,26,40,41,75,0,0
"95",2001-04-05,41,74,58,59,72,56,73,86,66,40,91,72,50,69,38,39,52,64,27,33,45,69,0,0
"96",2001-04-06,50,109,65,62,70,67,98,96,68,57,87,59,60,45,44,41,60,49,28,33,51,82,0,0
"97",2001-04-07,39,108,72,52,57,63,60,96,83,49,77,80,63,47,48,35,71,59,27,39,41,86,0,0
"98",2001-04-08,28,98,67,65,60,65,76,61,77,68,66,77,82,64,36,37,62,53,22,41,42,72,0,0
"99",2001-04-09,44,102,55,82,63,69,80,80,80,50,71,68,64,86,34,35,41,59,19,43,38,75,0,0
"100",2001-04-10,37,89,91,71,53,67,68,71,75,59,73,70,79,61,52,48,54,57,22,39,37,68,0,0
"101",2001-04-11,57,93,82,64,48,76,74,92,70,51,81,67,67,46,38,37,56,48,27,35,37,65,0,0
"102",2001-04-12,42,118,82,82,60,77,87,89,78,63,85,85,51,58,36,46,58,60,26,52,48,74,0,0
"103",2001-04-13,45,84,73,68,42,75,68,96,75,43,82,63,71,50,39,38,78,61,25,42,35,83,0,0
"104",2001-04-14,28,87,66,76,57,75,51,89,64,55,77,67,75,62,50,46,63,75,25,45,42,72,0,0
"105",2001-04-15,17,99,61,59,49,68,68,82,61,43,68,71,55,64,41,35,45,46,30,36,44,84,0,0
"106",2001-04-16,41,95,66,61,39,66,55,79,72,48,69,54,58,43,41,29,49,62,26,35,39,50,0,0
"107",2001-04-17,34,90,64,50,35,70,68,91,61,51,60,59,56,60,33,33,50,65,31,30,36,67,0,0
"108",2001-04-18,41,97,69,59,69,64,69,98,65,50,77,76,74,72,48,32,55,58,23,31,39,72,0,0
"109",2001-04-19,42,84,74,66,57,76,62,91,93,61,83,50,58,42,55,47,57,67,24,44,29,61,0,0
"110",2001-04-20,50,115,78,78,69,87,71,90,67,56,78,77,81,51,52,55,57,74,14,47,46,82,0,0
"111",2001-04-21,39,104,80,66,59,69,62,93,61,57,86,82,70,47,36,32,60,70,25,62,40,70,0,0
"112",2001-04-22,26,106,72,78,55,81,72,86,72,50,81,61,80,68,50,47,37,46,25,40,39,81,0,0
"113",2001-04-23,60,102,61,72,66,53,68,99,59,51,67,62,73,50,36,39,47,60,30,36,41,76,0,0
"114",2001-04-24,44,86,63,75,57,71,70,89,63,50,82,71,53,64,36,28,59,56,34,32,40,71,0,0
"115",2001-04-25,43,98,53,74,65,86,73,84,64,55,84,56,48,46,38,49,52,71,28,38,39,55,0,0
"116",2001-04-26,44,110,74,77,56,63,81,91,71,49,74,66,63,59,41,30,70,52,35,43,43,66,0,0
"117",2001-04-27,51,105,86,87,59,72,80,99,72,59,82,58,89,63,60,60,65,71,26,30,42,88,0,0
"118",2001-04-28,34,110,66,75,62,51,58,85,65,51,65,57,78,50,46,37,66,63,28,37,39,79,0,0
"119",2001-04-29,19,115,52,71,52,68,67,80,77,65,72,55,79,63,43,32,60,57,20,35,38,75,0,0
"120",2001-04-30,47,128,62,79,62,56,73,90,74,68,74,69,66,66,47,35,47,60,31,53,56,90,0,0
"121",2001-05-01,48,109,97,84,67,66,88,104,73,71,80,92,67,74,53,46,60,56,27,52,43,89,0,0
"122",2001-05-02,34,136,72,76,74,68,80,79,94,75,77,80,66,53,38,48,51,68,34,37,49,73,0,0
"123",2001-05-03,32,117,58,87,60,85,85,99,76,64,88,70,63,80,42,35,56,59,35,42,34,74,0,0
"124",2001-05-04,51,121,79,98,55,67,109,102,82,65,89,72,59,67,40,40,65,70,32,58,40,72,0,0
"125",2001-05-05,28,91,64,85,55,80,65,91,73,52,77,60,52,53,44,43,85,71,18,33,37,90,0,0
"126",2001-05-06,28,84,64,76,45,59,72,68,55,64,62,71,70,48,52,39,51,48,26,43,32,65,0,0
"127",2001-05-07,37,112,89,86,64,68,73,91,64,58,76,59,60,57,36,35,55,61,34,42,54,81,0,0
